sample,Time (s),CMD_POS_FLOATMAG_BH,ENC_POS_FLOATMAG_BH,POS_ERR_FLOATMAG_BH,DAC_FLOATMAG_BH,MODE_FLOATMAG_BH,ENC_POS_FLOATMAG_FBX,ENC_POS_FLOATMAG_FBY,ENC_POS_FLOATMAG_FB_COUNT,ENC_POS_FLOATMAG_FB_SCORE,EndPoint_X(um),ENC_X(um),dENC_X(um),ddENC_X(um)
1083,0.135375,0,-68,68,-251,ff010001,5713920,5132288,15383,1,-5.506981003,-0.34,0.024999999999999967,0.024999999999999967
1084,0.1355,0,-69,69,-248,ff010001,5713920,5132288,15383,1,-5.506981003,-0.345,-0.004999999999999949,-0.029999999999999916
1085,0.135625,0,-70,70,-218,ff010001,5713920,5132288,15383,1,-5.506981003,-0.35,-0.0050000000000000044,-5.551115123125783e-17
1086,0.13575,0,-69,69,-223,ff010001,5783552,5033984,15384,1,-4.84290837,-0.345,0.0050000000000000044,0.010000000000000009
1087,0.135875,0,-69,69,-229,ff010001,5783552,5033984,15384,1,-4.84290837,-0.345,0.0,-0.0050000000000000044
1088,0.136,0,-69,69,-225,ff010001,5783552,5033984,15384,1,-4.84290837,-0.345,0.0,0.0
1089,0.136125,0,-65,65,-243,ff010001,5840896,5181440,15385,1,-4.296025025,-0.325,0.019999999999999962,0.019999999999999962
1090,0.13625,0,-68,68,-231,ff010001,5840896,5181440,15385,1,-4.296025025,-0.34,-0.015000000000000013,-0.034999999999999976
1091,0.136375,0,-66,66,-219,ff010001,5914624,5251072,15386,1,-3.592889296,-0.33,0.010000000000000009,0.025000000000000022
1092,0.1365,0,-65,65,-236,ff010001,5914624,5251072,15386,1,-3.592889296,-0.325,0.0050000000000000044,-0.0050000000000000044
1093,0.136625,0,-63,63,-238,ff010001,5914624,5251072,15386,1,-3.592889296,-0.315,0.010000000000000009,0.0050000000000000044
1094,0.13675,0,-64,64,-228,ff010001,6045696,5160960,15387,1,-2.342870222,-0.32,-0.0050000000000000044,-0.015000000000000013
